"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","h-4","truncate 2"
"https://shopee.co.id/adidas-Lifestyle-Thin-and-Light-Sportswear-Low-Cut-Socks-3-Pairs-Unisex-Black-IC1336-i.270510657.29268086148?extraParams=%7B%22display_model_id%22%3A233481245603%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbkb-mauq4sdiaopl3a","adidas Lifestyle Thin and Light Sportswear Low-Cut Socks 3 Pairs Unisex Black IC1336","180.000","4.8","38 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Adicolor-Classic-Small-Item-Bag-Unisex-Turquoise-JD5545-i.270510657.42751197674?extraParams=%7B%22display_model_id%22%3A295096323905%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdx0-mcmz01325c8s1b","adidas Lifestyle Adicolor Classic Small Item Bag Unisex Turquoise JD5545","288.000","4.9","Pilih 2, diskon 15%","-40%","118 terjual"
"https://shopee.co.id/adidas-Lifestyle-4ATHLTS-Camper-Backpack-Unisex-Black-IM5520-i.270510657.27768084101?extraParams=%7B%22display_model_id%22%3A257063191935%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvu-mcmc6y6nz9j470","adidas Lifestyle 4ATHLTS Camper Backpack Unisex Black IM5520","800.000","5.0","65 terjual","",""
"https://shopee.co.id/adidas-Football-FIFA-World-Cup-26%E2%84%A2-Official-Emblem-Cap-Unisex-Black-KE7368-i.270510657.44501739472?extraParams=%7B%22display_model_id%22%3A420158375348%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-821e1-mh8wlo7yllvu19","adidas Football FIFA World Cup 26™ Official Emblem Cap Unisex Black KE7368","350.000","5.0","57 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-LINEAR-BASEBALL-CAP-Unisex-Blue-KE8257-i.270510657.42474650090?extraParams=%7B%22display_model_id%22%3A228173132187%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8260c-mm8hx0pfocg223","adidas Lifestyle LINEAR BASEBALL CAP Unisex Blue KE8257","430.000","5.0","4 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Must-Haves-Backpack-Unisex-Black-IM5214-i.270510657.41201205397?extraParams=%7B%22display_model_id%22%3A265096464777%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbka-maupmy2q82he20","adidas Lifestyle Must Haves Backpack Unisex Black IM5214","700.000","4.6","73 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-New-Logo-Embroidered-Baseball-Cap-Unisex-Blue-KE8271-i.270510657.48202317986?extraParams=%7B%22display_model_id%22%3A325222380671%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-82281-mhmldup3e0at13","adidas Lifestyle New Logo Embroidered Baseball Cap Unisex Blue KE8271","300.000","4.8","20 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Mid-Crew-Socks-3-Pairs-Unisex-White-FT8529-i.270510657.28219508012?extraParams=%7B%22display_model_id%22%3A218030598221%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-82260-mhcnwbof4x72db","adidas Lifestyle Mid Crew Socks 3 Pairs Unisex White FT8529","300.000","5.0","190 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-COTTON-BASEBALL-CAP-Unisex-Blue-FQ5270-i.270510657.28318088644?extraParams=%7B%22display_model_id%22%3A223481722841%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbka-mauqpw54gwpl5f","adidas Lifestyle COTTON BASEBALL CAP Unisex Blue FQ5270","300.000","5.0","376 terjual","",""
"https://shopee.co.id/adidas-Gym-Training-Sport-Trucker-CLIMACOOL-Cap-Unisex-Black-JE3926-i.270510657.27286664457?extraParams=%7B%22display_model_id%22%3A295094929766%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-81zuq-mmr41oerk35x89","adidas Gym & Training Sport Trucker CLIMACOOL Cap Unisex Black JE3926","440.000","4.9","Pilih 2, diskon 15%","-20%","63 terjual"
